Song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness
Not So Frightning,0.449,0.609,1,-7.169,1,0.0598,0.687,0,0.108
Better Than Me,0.814,0.839,0,-7.25,1,0.247,0.0239,0.121,0.405
I Get Overwhelmed,0.321,0.489,0,-9.53,1,0.0515,0.636,0.000412,0.113
Run or Hide,0.527,0.931,11,-3.426,0,0.0452,0.0126,0,0.0556
Redbone,0.747,0.378,1,-10.454,1,0.109,0.195,0.0173,0.119
The Other Side Of Paradise,0.683,0.342,11,-7.531,0,0.0613,0.344,0.0000764,0.0651
Since We've Been Wrong,0.467,0.358,9,-10.852,0,0.031,0.44,0.0000249,0.121
Agnes,0.552,0.523,1,-8.9,0,0.0245,0.0142,0.0192,0.113
Murakami,0.756,0.346,3,-9.688,0,0.154,0.627,0.00000394,0.0867
Come Down,0.82,0.908,10,-6.151,0,0.124,0.328,0.00155,0.296
Vermicide,0.368,0.723,7,-3.359,1,0.0486,0.12,0.0000346,0.321
Viices,0.668,0.555,8,-9.863,1,0.0473,0.537,0.0399,0.0729
Youth - Live From Tumblr IRL,0.604,0.804,9,-9.234,0,0.0355,0.131,0.0187,0.958
Picasso Leaning,0.741,0.679,1,-7.598,0,0.049,0.00119,0.000541,0.113
Pink + White,0.539,0.546,9,-7.448,1,0.106,0.674,0.0000486,0.422
Money All Around,0.669,0.719,6,-5.2,1,0.0762,0.0195,0.000421,0.0951
Loner,0.606,0.701,7,-7.054,1,0.0364,0.104,0,0.145
Problems,0.635,0.604,1,-10.125,0,0.191,0.199,0,0.0578
Isolé,0.621,0.713,2,-6.811,1,0.04,0.678,0.0519,0.155
Interlaced,0.667,0.671,8,-7.323,0,0.0347,0.0626,0.0254,0.112
Sober,0.68,0.472,9,-9.592,0,0.0971,0.106,0.00366,0.268
Let's Talk About Feelings,0.54,0.409,1,-13.727,1,0.0758,0.537,0.00122,0.131
Shutdown,0.518,0.768,10,-5.19,1,0.0451,0.0827,0.00192,0.115
ABCs of New York,0.393,0.736,10,-7.806,1,0.286,0.139,0.00000503,0.159
Saggy Denim,0.621,0.648,2,-8.465,1,0.25,0.0544,0,0.739
Parking Lot,0.639,0.907,9,-7.85,1,0.0409,0.0128,0.328,0.704
Out of sight (yhyh),0.747,0.586,8,-7.697,0,0.0479,0.489,0.0105,0.11
Nice House,0.546,0.757,5,-6.864,1,0.0512,0.171,0.0802,0.125
When I Was Young,0.677,0.689,3,-5.126,0,0.119,0.151,0.000207,0.121
Rolling,0.492,0.507,9,-8.914,0,0.104,0.0692,0.687,0.244
passionfruit,0.605,0.443,8,-13.171,0,0.0351,0.611,0.0917,0.111
I Got You,0.734,0.462,1,-8.057,0,0.133,0.449,0,0.0882
Life Itself,0.71,0.674,1,-6.212,1,0.0349,0.0175,0.149,0.354
Holiest,0.497,0.643,5,-7.813,0,0.0422,0.0346,0.0000644,0.109
Blood on Me,0.775,0.517,11,-8.186,1,0.137,0.122,0.0142,0.609
Life in a Bubble I Blew - bonus track,0.646,0.752,8,-5.463,0,0.027,0.431,0.0213,0.176
Golden State,0.483,0.919,6,-5.093,1,0.105,0.0132,0.00296,0.109
Call Me In The Afternoon,0.536,0.946,1,-7.932,1,0.0436,0.131,0.00645,0.103
Try Me (I'll Funk You) - Mono/Poly Remix,0.708,0.833,7,-5.683,0,0.138,0.157,0.00000477,0.0949
SWEET,0.718,0.628,10,-6.007,0,0.223,0.543,0,0.116
BOOGIE,0.604,0.933,1,-3.034,1,0.214,0.0137,0,0.37
RENTAL,0.672,0.452,0,-7.947,1,0.0738,0.194,0,0.251
Love In Bad Company - Alternate Version,0.639,0.334,5,-9.555,0,0.0299,0.157,0.00571,0.219
Quand on arrive en ville,0.806,0.328,2,-11.641,0,0.317,0.499,0,0.15
Turn My Heart to Stone,0.678,0.707,9,-5.891,0,0.186,0.254,0.00000332,0.105
The Dreamer,0.52,0.778,9,-4.161,1,0.26,0.324,0,0.896
Holy Drops,0.622,0.478,5,-11.771,0,0.0578,0.493,0.388,0.147
Irreversible,0.505,0.29,8,-13.155,0,0.126,0.843,0.00137,0.105
True Grit,0.517,0.945,11,-5.512,0,0.0454,0.0589,0.0026,0.318
