LANGUAGE,LANG_REGION
FRENCH,E
GERMAN,E
ITALIAN,E
OTHER_LANGS,X
RUSSIAN,E
SPANISH,E
AFRIKAANS,MEA
AKKADIAN,MEA
ALBANIAN,E
ALTAIC_LANGS,AP
AMHARIC,MEA
ARABIC,MEA
ARABIC_EGYPTIAN,MEA
ARABIC_SYRIAN,MEA
ARAMAIC,MEA
ARMENIAN,AP
BALTO-SLAVIC_LANGS,E
BANTU_LANGS,MEA
BENGALI/BANGLA,AP
BERBER_LANGS,MEA
BULGARIAN,E
BURMESE,AP
CANTONESE,AP
CHINESE,AP
CHINESE_CLASSICAL,AP
CZECH,E
DANISH,E
DUTCH,E
ESTONIAN,E
EWE,MEA
FARSI/PERSIAN,MEA
FILIPINO/PILIPINO/TAGALOG,AP
FINNISH,E
GEORGIAN,AP
GREEK,E
GREEK_MODERN,E
HAWAI'IAN,NSA
HEBREW,MEA
HEBREW_MODERN,MEA
HINDI,AP
HUNGARIAN,E
ICELANDIC,E
INDONESIA_BAHASA,AP
INDONESIAN_MALAY,AP
IRISH,E
JAPANESE,AP
KHALKHA,AP
KOREAN,AP
LETTISH,E
LITHUANIAN,E
MALAYAN_LANGS,AP
MANDARIN,AP
MARATHI,AP
MONGOLIAN,AP
NEAR_EASTERN_LANGS,MEA
NORWEGIAN,E
ORIENTAL_LANGS,AP
PALI,AP
POLISH,E
PORTUGUESE,E
QUECHUA/KICHWA_LANGS,NSA
ROMANCE_LANGS,E
ROMANIAN/RUMANIAN,E
SCANDINAVIAN_LANGS,E
SERBO-CROATIAN,E
SLAVIC_LANGS,E
SLOVAK,E
SLOVENE/SLOVENIAN,E
SWAHILI/KISWAHILI,MEA
SWEDISH,E
TAMIL,AP
TELUGU,AP
THAI,AP
TIBETAN,AP
TURKISH,AP
TWI,MEA
UGARITIC,MEA
UKRAINIAN,E
URALIC_LANGS,E/AP
URDU,AP
UZBEK,AP
VIETNAMESE,AP
YIDDISH,E
YORUBA,MEA
AFRICAN_LANGS,MEA
ASSYRIAN,MEA
CATALAN,E
CAUCASIAN_LANGS,AP
CELTIC_LANGS,E
COPTIC,MEA
EGYPTIAN,MEA
ETHIOPIC,MEA
GAELIC_SCOTTISH,E
GREEK_ANCIENT,E
HAUSA,MEA
HINDI-URDU,AP
HITTITE,AP
INDIC_LANGS,AP
INDONESIAN,AP
JAVANESE,AP
KABYLE,MEA
KANNADA,AP
KUMANIAN,AP
LATIN,E
LINGALA,MEA
MALAYALAM,AP
NEPALI,AP
NORSE_OLD,E
NORWEGIAN_MODERN,E
PRAKRIT_LANGS,AP
SANSKRIT,AP
SEMITIC_LANGS,MEA
SINHALA/SINHALESE/SINGHALESE,AP
SLAVONIC_OLD_CHURCH,E
SOTHO,MEA
SUMERIAN,MEA
SYRIAC,MEA
TAMAZIGHT,MEA
TOCHARIAN_LANGS,AP
TSWANA,MEA
TURKIC_LANGS,AP
WELSH_EARLY,E
XHOSA,MEA
ANGLO-SAXON,E
ARABIC_CLASSICAL,MEA
ARABIC_MODERN_STANDARD,MEA
ARABIC_MOROCCAN,MEA
ARMENIAN_CLASSICAL,AP
ARMENIAN_MODERN,AP
ASHANTI-TWI,MEA
BAMBARA,MEA
CAMBODIAN,AP
CEBUANO,AP
EGYPTIAN_ANCIENT,MEA
ELAMITE,MEA
ESKIMO,NSA
HEBREW_BIBLICAL_AND_MODERN,MEA
HEBREW_CLASSICAL,MEA
IBO,MEA
ICELANDIC_OLD,E
IGBO,MEA
INDIAN_STUDIES,X
IRANIAN_LANGS,AP
IRISH_OLD,E
JAPANESE_CLASSICAL,AP
LUCHUAN,AP
MALAY,AP
MENDE,MEA
NAVAJO,NSA
PIDGIN,X
PROVENCAL,E
SEMITIC_LANGS_ANCIENT,MEA
SHILHA,MEA
SLAVIC_CHURCH,E
SLOVAK_MODERN,E
SOUTHEAST_ASIAN_LANGS,AP
SUSU,MEA
TLINGIT,NSA
TURKISH_OTTOMAN,AP
WOLOF,MEA
YOMBA,MEA
NORSE,E
ATHABASKAN_LANGS,NSA
AZTEC_LANGS,NSA
BASQUE,E
CHAGATAI,AP
CHEROKEE,NSA
CHOCTAW,NSA
DAKOTA,NSA
ILOCANO/ILOKANO,AP
INUPIC,NSA
LAKOTA,NSA
LAOTIAN,AP
LATVIAN,E
MAORI,AP
MAYAN_QUICHE,NSA
MUSKOGEE/MASKOKE/CREEK,NSA
OJIBWA/OJIBWAY/OJIBWE,NSA
PAPAGO,NSA
SIOUX_LANGS,NSA
SLAVIC_OLD_CHURCH,E
TONGAN,AP
TURKIC_ANCIENT,AP
TURKIC_LANGS_MIDDLE,AP
WELSH,E
YUP'IK/YUPIC,NSA/AP
ZULU,MEA
BALINESE,AP
BRETON,E
CHUVASH,E/AP
DIGUENO,NSA
ESPERANTO,X
FRENCH_CAJUN,NSA
HOPI,NSA
IRANIAN_LANGS_ANCIENT,AP
IRISH_MODERN,E
KOYUKON,NSA
LADINO,E/MEA
MACEDONIAN,E
MAYAN_YUCATEC,NSA
MONGOLIAN_CLASSICAL,AP
NAHUATL_LANGS,NSA
PUNJABI,AP
SAMOAN,AP
TURKIC_UYGHUR,AP
TURKISH_MIDDLE,AP
AYMARA,NSA
AZERI,AP
CREOLE_HAITIAN,NSA
CROW,NSA
FON,MEA
FULANI,MEA
GAELIC,E
KI-KONGO,MEA
KRIO,MEA
LAO,AP
SHONA,MEA
TAHITIAN,AP
TATAR,E/AP
TUAMOTUAN,AP
TUVIN,AP
VEDIC,AP
APACHE,NSA
BLACKFEET,NSA
CHEYENNE,NSA
CHIPPEWA/CREE,NSA
CUYONON,AP
DAKOTA/LAKOTA,NSA
GUARANI,NSA
GUJARATI,AP
HUALAPAI,NSA
INUPIAQ,NSA
KIRUNDI,MEA
KOOTENAI,NSA
MANCHURIAN,AP
MANDINKA,MEA
OMAHA,NSA
ONEIDA,NSA
SALISH,NSA
SINDHI,AP
SOMALI,MEA
WINNEBAGO,NSA
ALEUT,NSA
ALTAI,E/AP
ARAPAHOE,NSA
FANG,MEA
HEBREW_BIBLICAL,MEA
KHMER,AP
KIRGIZ/KYRGYZ,AP
KUTENAI,NSA
SHILLUK,MEA
TAJIK,AP
TONGA,MEA
TURKMEN/TURKMAN,AP
UYGHUR,AP
AMERICAN_SIGN_LANGUAGE_(ASL),NSA
CHAMORRO,AP
CHIPPEWA,NSA
EGYPTIAN_MIDDLE,MEA
FULA,MEA
HMONG,AP
MANCHU,AP
MANDINGO,MEA
NYANJA,MEA
ROMANI_LANGS,E
TOHONO_O'ODHAM,NSA
ASSINIBOINE,NSA
BEMBA,MEA
CHEYENNE_NORTHERN,NSA
CREE,NSA
CROATIAN,E
KAZAKH/QAZAQ,AP
MAYAN,NSA
NDEBELE_ZIMBABWE,MEA
PIMA,NSA
SERBIAN,E
SHOSHONI,NSA
TABLA,AP
TIBETAN_CLASSICAL,AP
AKAN,MEA
ALUTIIQ,NSA/AP
ASSYRO-BABYLONIAN,MEA
CHICHEWA,MEA
DEG_XINAG,NSA
GALICIAN,E
GWICH'IN,NSA
KIOWA,NSA
LUGANDA,MEA
MENOMINEE,NSA
MERU,MEA
MOHAWK,NSA
NETHERLANDIC,E
SAHAPTIN_LANGS,NSA
SETSWANA,MEA
YAQUI,NSA
ANISHINABE,NSA
DARI/AFGHAN_PERSIAN,AP
GIKUYU/KIKUYU,MEA
NEZ_PERCE,NSA
OROMO,MEA
PASHTO,AP
SWATI,MEA
TAIWANESE,AP
A'ANI_NIN/GROS_VENTRE,NSA
ARABIC_QUR'ANIC,MEA
ARAMAIC_RABBINIC/TALMUDIC/TARGUMIC,MEA
ARMENIAN_EASTERN,AP
ARMENIAN_WESTERN,AP
BOSNIAN,E
BOSNIAN/CROATIAN/SERBIAN,E
CHINOOK_WA_WA,NSA
COMANCHE,NSA
CREOLE_CAPE_VERDEAN,MEA
EVENKI,AP
GERMAN_MIDDLE_HIGH,E
GERMAN_THEOLOGICAL,E
GREEK_BIBLICAL,E
HAIDA,NSA
HIDATSA,NSA
IRANIAN_LANGS_OLD,AP
KANA,MEA
KURDISH,MEA
KURMANJI,MEA
LATIN_MEDIEVAL,E
LUISENO,NSA
LUSHOOTSEED,NSA
MALISEET_WABANAKI,NSA
MARSHALLESE,AP
MAYAN_KAQCHIKEL,NSA
NAKODA,NSA
NAKONA,NSA
NSELXCIN_(OKANOGAN_AND_NESPELEM),NSA
PENNSYLVANIA_DUTCH,NSA
PULAAR,MEA
SANSKRIT_VEDIC,AP
SORANI,MEA
SPANISH_PASTORAL,E
TURKISH_OLD_ANATOLIAN,AP
XWLEMI_(LUMMI),NSA
ZAPOTEC_LANGS,NSA
ALASKAN_LANGS,NSA
ARABIC_IRAQI,MEA
ARABIC_SUDANESE,MEA
ARAMAIC_MODERN,MEA
ARIKARA,NSA
AZERBAIJANI,AP
BAMANA,MEA
CHINYANJA,MEA
COEUR_D'ALENE,NSA
DINKA,MEA
GREEK_AND_LATIN,E
GREEK_KOINE,E
GREEK_NEW_TESTAMENT,E
GREEK_OLD_TESTAMENT,E
HO-CHUNK,NSA
MANDAN,NSA
NAMIBIAN_LANGS,MEA
PUSHTU_AFGHAN,AP
SERBIAN/CROATIAN,E
SESOTHO,MEA
TIGRINYA,MEA
ZUNI,NSA
ARABIAN_OLD_SOUTH,MEA
ARABIC_GULF,MEA
ARABIC_LEVANTINE,MEA
ARAMAIC_ANCIENT,MEA
CHINESE_PRE-MODERN,AP
CREOLE_AFRICAN,MEA
CREOLOID_LANGS,X
EAST_ASIAN_LANGS,AP
EGYPTIAN_LATE,MEA
FAR_EASTERN_LANGS,AP
FIJIAN,AP
FRENCH_OLD,E
GREEK_AND_HEBREW,E/MEA
HEBREW_RABBINIC,MEA
INGWAEONIC_LANGS,E
INUKTITUT,NSA
IRANIAN_LANGS_MIDDLE,AP
IRISH_OLD_AND_MIDDLE,E
KIKSHT,NSA
KUMEYAAY,NSA
MALAGASY,MEA
MANINKA,MEA
NATIVE_AMERICAN_LANGS,NSA
OSAGE,NSA
PALENQUERO,NSA
PAWNEE,NSA
PHOENICIAN,MEA
PLAINS_INDIAN_SIGN_LANGUAGE,NSA
SIGN_LANGUAGE,NSA
TURKIC_OLD,AP
WELSH_MIDDLE,E
YUROK,NSA
AHTENA/AHTNA,NSA
ALGONQUIN/ANISHINAABEMOWIN,NSA
ARABIC_ALGERIAN,MEA
ARAMAIC_BIBLICAL,MEA
BENGALI,AP
CHECHEN,E
CHICKASAW,NSA
CREOLE_JAMAICAN/PATOIS,NSA
CREOLE_LANGS,X
CZECH/SLOVAK,E
DENA'INA/TANAINA,NSA
GERMAN_OLD_LOW/SAXON_OLD,E
GERMAN_PENNSYLVANIA,NSA
KINYARWANDA,MEA
LUSOGA/SOGA,MEA
LUWIAN,AP
MISKITO/MISKITU,NSA
MIXTECAN_LANGS,NSA
OKINAWAN,AP
POTAWATOMI,NSA
TATI,MEA
TOLOWA,NSA
TSIMSHIAN,NSA
