Song,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time
Interlaced,0.667,0.671,8,-7.323,0,0.0347,0.0626,0.112,0.137,121.979,154.24,4
Quand on arrive en ville,0.806,0.328,2,-11.641,0,0.317,0.499,0.15,0.362,92.019,218.01,4
Hope,0.531,0.918,2,-4.34,1,0.041,0.0119,0.122,0.376,133.917,312.587,4
Solarium,0.574,0.703,1,-7.624,0,0.0267,0.543,0.0991,0.697,103.985,189.053,4
Le Jour,0.688,0.684,7,-4.64,0,0.0339,0.00226,0.0333,0.805,132.005,198.92,4
Tout est magnifique,0.706,0.792,8,-11.664,0,0.0688,0.0305,0.952,0.0601,111.153,305.262,4
Winter in the Sun,0.762,0.767,0,-6.04,0,0.0405,0.0518,0.0882,0.904,124.022,218.627,4
Comme toi,0.655,0.716,10,-6.41,1,0.0309,0.106,0.184,0.627,123.044,162.053,4
Gravit_,0.601,0.362,0,-12.694,1,0.373,0.863,0.125,0.601,120.201,196.787,4
Some Walls,0.623,0.32,3,-11.461,0,0.0433,0.0431,0.0633,0.478,148.041,183.187,4
Autonomic,0.684,0.549,5,-9.27,1,0.0415,0.187,0.0948,0.39,120.011,440.256,4
Virile,0.679,0.462,3,-10.128,1,0.0326,0.0442,0.0846,0.302,120.012,321.56,4
Agitations tropicales,0.76,0.401,1,-9.537,0,0.0674,0.564,0.0977,0.619,115.989,248.892,4
Kid,0.724,0.535,9,-8.265,1,0.214,0.0551,0.181,0.407,143.909,186.307,4
Nana,0.682,0.693,4,-6.77,0,0.0333,0.22,0.23,0.335,94.017,190.194,3
L'Indien,0.731,0.494,0,-7.486,1,0.0337,0.214,0.239,0.362,129.966,211.547,4
Gamesofluck,0.659,0.757,9,-5.275,0,0.038,0.128,0.0859,0.553,104.997,348.093,4
Hinode,0.62,0.702,9,-8.193,0,0.0581,0.0571,0.141,0.399,171.853,207.973,4
On You,0.694,0.68,1,-8.395,1,0.0323,0.339,0.691,0.357,116.984,197.4,4
Rebirth,0.72,0.514,11,-12.088,1,0.0365,0.00435,0.692,0.203,107.982,311.111,4
Bal De Bamako,0.699,0.82,1,-4.94,0,0.171,0.0224,0.367,0.781,108.039,229.16,4
She Pretends,0.535,0.652,6,-7.316,1,0.0305,0.312,0.454,0.427,120.078,243.987,4
Photomaton,0.768,0.568,0,-11.548,1,0.0489,0.655,0.0906,0.62,101.002,280.12,4
Salop(e),0.525,0.837,0,-4.399,0,0.0727,0.0634,0.281,0.667,92.926,236.64,4
Swim,0.582,0.581,0,-6.325,1,0.0692,0.159,0.0643,0.4,168.052,209.756,4
Ma Benz,0.791,0.338,4,-9.763,0,0.0533,0.512,0.471,0.445,124.066,244.747,4
Betty,0.745,0.494,1,-8.393,0,0.0347,0.211,0.226,0.572,91.988,235.534,4
Djon Maya Ma¥ - feat. Victor D_m_ [Original Mix],0.79,0.647,8,-6.732,0,0.0375,0.2,0.0766,0.749,105.012,194.707,4
You're High,0.613,0.634,9,-7.375,0,0.0266,0.0173,0.118,0.496,107.009,270,4
La mer est calme,0.77,0.403,5,-9.178,1,0.0299,0.741,0.106,0.515,107.531,238.307,3
Atlas,0.444,0.752,2,-5.719,1,0.12,0.138,0.177,0.499,99.934,175.2,4
La Malinche,0.597,0.726,9,-5.064,0,0.0412,0.0688,0.136,0.258,125.901,236.533,4
My Baby,0.649,0.476,6,-9.669,1,0.0264,0.785,0.195,0.783,94.972,177.217,4
Tornado,0.808,0.702,9,-6.171,1,0.0434,0.0362,0.0655,0.552,119.978,234.347,4
Miss Miss,0.664,0.86,0,-6.955,1,0.0639,0.266,0.0763,0.611,99.992,201.56,4
Les filles d_sir,0.486,0.532,3,-8,0,0.0821,0.371,0.0941,0.346,79.105,197.351,4
Holy Drops,0.622,0.478,5,-11.771,0,0.0578,0.493,0.147,0.241,169.981,262.76,3
Mo¥ra Gynt - EP version,0.577,0.392,5,-11.109,1,0.0444,0.388,0.121,0.144,94.391,201.84,4
Le grand amour,0.347,0.273,4,-11.988,0,0.0341,0.937,0.129,0.366,98.69,216.293,4
Something,0.565,0.534,4,-11.723,0,0.0336,0.171,0.106,0.0367,170.073,223.973,4
The Keys,0.378,0.689,9,-8.14,0,0.0545,0.0104,0.166,0.228,149.083,234.908,4
Simply Are,0.76,0.646,5,-11.638,1,0.0668,0.11,0.131,0.819,99.331,236.973,4
Petit Pays,0.576,0.68,4,-9.416,0,0.132,0.842,0.162,0.754,99.814,257.24,4
Miami,0.744,0.795,7,-5.019,1,0.0331,0.00817,0.1,0.888,110.012,274.333,4
Flaming Sky,0.578,0.569,6,-7.083,1,0.0538,0.169,0.0837,0.113,129.99,192.973,4
Week-end ö Rome,0.741,0.761,11,-13.496,1,0.0469,0.157,0.0392,0.958,118.912,254.453,4
Bouche ö lèvres,0.769,0.488,0,-9.834,1,0.0421,0.254,0.105,0.514,128.003,229.253,4
Sur la planche 2013,0.46,0.804,9,-4.735,0,0.0397,0.0582,0.111,0.182,186.015,229.84,4
De la vitesse ö l'ivresse,0.415,0.498,9,-8.572,1,0.0408,0.706,0.201,0.197,74.874,268.242,4
Oboe,0.746,0.666,0,-8.342,1,0.0351,0.298,0.0983,0.393,114.992,325.587,4
Poly,0.416,0.562,11,-9.462,1,0.0562,0.315,0.134,0.131,122.519,293.493,3
Just Need Your Love,0.612,0.649,10,-6.481,0,0.0326,0.104,0.201,0.301,115.035,250.467,4
Chäteau perdu,0.687,0.635,0,-8.661,0,0.0426,0.0583,0.067,0.339,100.02,270,4
Despair Hangover & Ecstasy,0.607,0.902,2,-4.129,0,0.0746,0.0252,0.181,0.611,142.95,172.891,4
Dernier m_tro,0.732,0.822,9,-5.287,0,0.0394,0.000855,0.133,0.97,149.98,225.352,4
Autopilote,0.696,0.402,0,-11.111,1,0.105,0.562,0.0763,0.642,148.533,224.427,4
Parade,0.632,0.434,7,-13.478,1,0.0424,0.0964,0.0988,0.11,119.989,381.157,4
Garde Le Pour Toi,0.65,0.878,8,-8.228,0,0.0385,0.00539,0.253,0.299,117,405.697,4
We Cut the Night,0.414,0.866,0,-7.923,1,0.0787,0.306,0.107,0.233,113.978,255.453,4
Swimming Lessons,0.589,0.661,0,-5.719,1,0.0261,0.0082,0.36,0.52,111.958,235.36,4
A New Dawn,0.84,0.532,10,-10.569,0,0.0468,0.0136,0.128,0.525,110.998,220.205,4
All in All - Anoraak Remix,0.765,0.545,0,-7.241,1,0.0375,0.0477,0.13,0.442,100.002,274.252,4
Glitter Gown,0.697,0.827,6,-6.049,0,0.0392,0.244,0.0658,0.789,128.002,161.425,4
Special Way,0.72,0.668,6,-5.315,0,0.0312,0.00773,0.101,0.956,140.018,241.013,4
Dancing Like a Robot,0.735,0.493,4,-6.922,0,0.0467,0.0487,0.196,0.586,124.955,249.385,4
Antony's Affair,0.629,0.404,4,-11.869,0,0.0359,0.0279,0.11,0.0631,125.292,231.371,4
Ichor,0.63,0.736,5,-7.558,0,0.0425,0.000496,0.102,0.484,95.017,247.652,4
Si maman si,0.845,0.603,10,-6.892,1,0.0496,0.448,0.108,0.974,117.07,180.453,4
Map No.29,0.633,0.272,7,-14.101,1,0.0362,0.51,0.0574,0.0528,92.997,449.22,4
Juvenile,0.63,0.554,9,-9.675,0,0.0256,0.00393,0.145,0.119,127.013,203.693,4
Last Thoughts (feat. Jimmy Hennessy),0.725,0.74,1,-7.971,0,0.0664,0.2,0.12,0.368,108.011,200,4
Sonate pacifique,0.557,0.534,5,-8.863,1,0.0328,0.627,0.425,0.226,99.99,348.945,4
L'Amour en Solitaire,0.794,0.521,5,-6.81,0,0.0339,0.427,0.265,0.491,128.019,175.24,4
Older,0.746,0.765,3,-5.487,1,0.054,0.366,0.0799,0.972,154.971,207.192,5
Random,0.589,0.606,7,-7.322,0,0.351,0.547,0.0918,0.471,106.724,250.987,5
Plage isol_e (Soleil couchant),0.783,0.437,10,-8.735,0,0.0333,0.0779,0.0805,0.46,96.996,359.035,4
Headson,0.814,0.454,0,-13.431,1,0.0417,0.383,0.116,0.571,115.011,188,4
La lune rousse,0.721,0.813,9,-7.763,1,0.0321,0.0489,0.153,0.161,113.002,225.257,4
Palladium,0.621,0.627,11,-5.877,1,0.0369,0.738,0.105,0.433,139.93,229.733,4
Gimme Some,0.632,0.714,6,-13.228,0,0.0411,0.0456,0.132,0.0641,99.988,308.742,4
La ritournelle,0.558,0.723,0,-11.214,0,0.0312,0.00405,0.0863,0.526,102.833,454.48,4
J'arrive,0.725,0.378,11,-9.59,0,0.0608,0.529,0.0671,0.342,136.026,192.147,4
Honeymoon,0.742,0.481,4,-7.954,0,0.0336,0.0917,0.0729,0.451,117.003,241.427,4
The Sun,0.774,0.673,5,-6.473,0,0.035,0.22,0.0973,0.917,126.016,210.04,4
Coma Idyllique,0.629,0.794,10,-5.434,1,0.0291,0.0013,0.552,0.615,101.998,208.699,4
Solidarit_,0.664,0.851,11,-6.866,1,0.228,0.0617,0.594,0.812,112.993,195.293,4
Le Temps Est Bon,0.802,0.565,3,-6.585,1,0.0263,0.213,0.0967,0.595,90.989,273.859,4
Isabella,0.289,0.507,2,-9.947,1,0.154,0.691,0.142,0.105,176.997,313.733,4
We Choose,0.433,0.0663,6,-11.224,1,0.0428,0.906,0.108,0.173,77.873,229.875,3
Fireball (feat. Broken Back),0.83,0.677,6,-6.012,0,0.0945,0.224,0.0438,0.615,120.004,190,4
Un autre que moi,0.761,0.632,6,-6.236,1,0.0498,0.029,0.0589,0.921,102.038,184.147,4
Thousand Suns,0.64,0.785,11,-5.216,0,0.0599,0.0172,0.0367,0.329,98.039,190.623,4
Prettiest Virgin (Radio Edit),0.946,0.493,8,-9.654,1,0.0509,0.162,0.0875,0.592,120.012,270,4
Blow Up,0.693,0.406,9,-8.154,1,0.0524,0.571,0.115,0.571,104.987,315.086,4
Unicorns,0.593,0.676,0,-7.583,1,0.0275,0.389,0.15,0.255,109.982,268,4
We Light The Sunshine - Trinix Remix,0.697,0.657,7,-5.779,0,0.0418,0.187,0.162,0.418,101.965,179.573,4
Ulysses and the Sea,0.882,0.161,8,-9.385,0,0.0458,0.913,0.128,0.698,106.105,120.166,4
Too Insistent - TrentemÀller Remix,0.754,0.686,0,-8.963,0,0.0384,0.302,0.0773,0.276,111.966,310.006,4
Interlaced,0.667,0.671,8,-7.323,0,0.0347,0.0626,0.112,0.137,121.979,154.24,4
But Now a Warm Feel Is Running,0.8,0.279,2,-10.823,0,0.0619,0.348,0.222,0.095,90.006,302.2,4
Words Hurt,0.8,0.671,10,-4.907,0,0.0369,0.00253,0.0647,0.618,114.993,221.507,4
On the Way Home,0.717,0.659,0,-11.249,0,0.0331,0.227,0.0923,0.346,125.001,356.032,4
A l'aube,0.571,0.591,5,-6.799,1,0.0334,0.0214,0.0733,0.426,125.932,284.12,4
Larme ö gauche,0.754,0.758,2,-8.626,0,0.0517,0.108,0.25,0.562,120.086,178.056,4
Fisher,0.837,0.501,4,-8.366,1,0.046,0.0792,0.141,0.781,109.98,324.547,4
Dans la Merco Benz - Radio Edit,0.425,0.789,0,-5.814,0,0.0452,0.0017,0.126,0.845,177.975,188.28,4
La vie ne vaut rien (reprise d'Alain Souchon),0.741,0.525,0,-8.903,1,0.144,0.321,0.0929,0.394,84.998,220.973,4
